"ID";"RegioS";"Jaar";"Grijze Druk"
"2559";"GM0200";"2002JJ00";"25"
"2560";"GM0200";"2003JJ00";"25.1"
"2561";"GM0200";"2004JJ00";"25.2"
"2562";"GM0200";"2005JJ00";"25.6"
"2563";"GM0200";"2006JJ00";"25.9"
"2564";"GM0200";"2007JJ00";"26.2"
"2565";"GM0200";"2008JJ00";"26.6"
"2566";"GM0200";"2009JJ00";"27.2"
"2567";"GM0200";"2010JJ00";"27.9"
"2568";"GM0200";"2011JJ00";"28.4"
"2569";"GM0200";"2012JJ00";"30"
"2570";"GM0200";"2013JJ00";"31.4"
"2571";"GM0200";"2014JJ00";"32.5"
"2572";"GM0200";"2015JJ00";"33.5"
"2573";"GM0200";"2016JJ00";"34.1"
"2574";"GM0200";"2017JJ00";"34.9"
"2575";"GM0200";"2018JJ00";"35.6"
"2576";"GM0200";"2019JJ00";"36.2"
"2577";"GM0200";"2020JJ00";"36.8"
"2578";"GM0200";"2021JJ00";"37.3"
"2579";"GM0200";"2022JJ00";"37.9"
"2580";"GM0200";"2023JJ00";"38.3"
"2581";"GM0003";"1995JJ00";"29.2"
"2582";"GM0003";"1996JJ00";"29.5"
"2583";"GM0003";"1997JJ00";"29.8"
"2584";"GM0003";"1998JJ00";"30.1"
"2585";"GM0003";"1999JJ00";"30"
"2586";"GM0003";"2000JJ00";"29.7"
"2587";"GM0003";"2001JJ00";"29.7"
"2588";"GM0003";"2002JJ00";"29.8"
"2589";"GM0003";"2003JJ00";"30.1"
"2590";"GM0003";"2004JJ00";"30.8"
"2591";"GM0003";"2005JJ00";"31.3"
"2592";"GM0003";"2006JJ00";"31.9"
"2593";"GM0003";"2007JJ00";"32.9"
"2594";"GM0003";"2008JJ00";"33.1"
"2595";"GM0003";"2009JJ00";"33.9"
"2596";"GM0003";"2010JJ00";"34.7"
"2597";"GM0003";"2011JJ00";"34.9"
"2598";"GM0003";"2012JJ00";"36.7"
"2599";"GM0003";"2013JJ00";"38.4"
"2600";"GM0003";"2014JJ00";"39.7"
"2601";"GM0003";"2015JJ00";"40.8"
"2602";"GM0003";"2016JJ00";"42.2"
"2603";"GM0003";"2017JJ00";"42.9"
"2604";"GM0003";"2018JJ00";"43.3"
"2605";"GM0003";"2019JJ00";"45.3"
"2606";"GM0003";"2020JJ00";"46.7"
"2607";"GM0003";"2021JJ00";
"2608";"GM0003";"2022JJ00";
"2609";"GM0003";"2023JJ00";
"2610";"GM0885";"1995JJ00";"15.7"
"2611";"GM0885";"1996JJ00";"16.4"
"2612";"GM0885";"1997JJ00";"16.9"
"2613";"GM0885";"1998JJ00";"17.7"
"2614";"GM0885";"1999JJ00";"18.3"
"2615";"GM0885";"2000JJ00";"18.5"
"2616";"GM0885";"2001JJ00";"19.6"
"2617";"GM0885";"2002JJ00";"20.7"
"2618";"GM0885";"2003JJ00";"20.9"
"2619";"GM0885";"2004JJ00";"21.9"
"2620";"GM0885";"2005JJ00";"22.8"
"2621";"GM0885";"2006JJ00";"23.2"
"2622";"GM0885";"2007JJ00";"24.6"
"2623";"GM0885";"2008JJ00";"25.8"
"2624";"GM0885";"2009JJ00";"27.3"
"2625";"GM0885";"2010JJ00";
"2626";"GM0885";"2011JJ00";
"2627";"GM0885";"2012JJ00";
"2628";"GM0885";"2013JJ00";
"2629";"GM0885";"2014JJ00";
"2630";"GM0885";"2015JJ00";
"2631";"GM0885";"2016JJ00";
"2632";"GM0885";"2017JJ00";
"2633";"GM0885";"2018JJ00";
"2634";"GM0885";"2019JJ00";
"2635";"GM0885";"2020JJ00";
"2636";"GM0885";"2021JJ00";
"2637";"GM0885";"2022JJ00";
"2638";"GM0885";"2023JJ00";
"2639";"GM0649";"1995JJ00";"14.8"
"2640";"GM0649";"1996JJ00";"15.5"
"2641";"GM0649";"1997JJ00";
"2642";"GM0649";"1998JJ00";
"2643";"GM0649";"1999JJ00";
"2644";"GM0649";"2000JJ00";
"2645";"GM0649";"2001JJ00";
"2646";"GM0649";"2002JJ00";
"2647";"GM0649";"2003JJ00";
"2648";"GM0649";"2004JJ00";
"2649";"GM0649";"2005JJ00";
"2650";"GM0649";"2006JJ00";
"2651";"GM0649";"2007JJ00";
"2652";"GM0649";"2008JJ00";
"2653";"GM0649";"2009JJ00";
"2654";"GM0649";"2010JJ00";
"2655";"GM0649";"2011JJ00";
"2656";"GM0649";"2012JJ00";
"2657";"GM0649";"2013JJ00";
"2658";"GM0649";"2014JJ00";
"2659";"GM0649";"2015JJ00";
"2660";"GM0649";"2016JJ00";
"2661";"GM0649";"2017JJ00";
"2662";"GM0649";"2018JJ00";
"2663";"GM0649";"2019JJ00";
"2664";"GM0649";"2020JJ00";
"2665";"GM0649";"2021JJ00";
"2666";"GM0649";"2022JJ00";
"2667";"GM0649";"2023JJ00";
"2668";"GM0202";"1995JJ00";"22.1"
"2669";"GM0202";"1996JJ00";"22"
"2670";"GM0202";"1997JJ00";"21.9"
"2671";"GM0202";"1998JJ00";"21.5"
"2672";"GM0202";"1999JJ00";"21.2"
"2673";"GM0202";"2000JJ00";"20.7"
"2674";"GM0202";"2001JJ00";"20.3"
"2675";"GM0202";"2002JJ00";"20"
"2676";"GM0202";"2003JJ00";"19.7"
"2677";"GM0202";"2004JJ00";"19.7"
"2678";"GM0202";"2005JJ00";"19.6"
"2679";"GM0202";"2006JJ00";"19.5"
"2680";"GM0202";"2007JJ00";"19.3"
"2681";"GM0202";"2008JJ00";"19.2"
"2682";"GM0202";"2009JJ00";"19.2"
"2683";"GM0202";"2010JJ00";"19.4"
"2684";"GM0202";"2011JJ00";"19.5"
"2685";"GM0202";"2012JJ00";"20.3"
"2686";"GM0202";"2013JJ00";"21.1"
"2687";"GM0202";"2014JJ00";"21.6"
"2688";"GM0202";"2015JJ00";"22.1"
"2689";"GM0202";"2016JJ00";"22.6"
"2690";"GM0202";"2017JJ00";"23.1"
"2691";"GM0202";"2018JJ00";"23.6"
"2692";"GM0202";"2019JJ00";"23.9"
"2693";"GM0202";"2020JJ00";"24.3"
"2694";"GM0202";"2021JJ00";"24.6"
"2695";"GM0202";"2022JJ00";"25"
"2696";"GM0202";"2023JJ00";"25.2"
"2697";"GM0106";"1995JJ00";"22.7"
"2698";"GM0106";"1996JJ00";"22.9"
"2699";"GM0106";"1997JJ00";"22.8"
"2700";"GM0106";"1998JJ00";"22.9"
"2701";"GM0106";"1999JJ00";"22.9"
"2702";"GM0106";"2000JJ00";"23.1"
"2703";"GM0106";"2001JJ00";"23.2"
"2704";"GM0106";"2002JJ00";"23.1"
"2705";"GM0106";"2003JJ00";"22.8"
"2706";"GM0106";"2004JJ00";"23.1"
"2707";"GM0106";"2005JJ00";"23.2"
"2708";"GM0106";"2006JJ00";"23.6"
"2709";"GM0106";"2007JJ00";"23.6"
"2710";"GM0106";"2008JJ00";"23.9"
"2711";"GM0106";"2009JJ00";"24.4"
"2712";"GM0106";"2010JJ00";"25.2"
"2713";"GM0106";"2011JJ00";"25.7"
"2714";"GM0106";"2012JJ00";"27.1"
"2715";"GM0106";"2013JJ00";"28.4"
"2716";"GM0106";"2014JJ00";"29.8"
"2717";"GM0106";"2015JJ00";"30.9"
"2718";"GM0106";"2016JJ00";"31.8"
"2719";"GM0106";"2017JJ00";"32.6"
"2720";"GM0106";"2018JJ00";"33.8"
"2721";"GM0106";"2019JJ00";"34.7"
"2722";"GM0106";"2020JJ00";"35.5"
"2723";"GM0106";"2021JJ00";"36.3"
"2724";"GM0106";"2022JJ00";"37.1"
"2725";"GM0106";"2023JJ00";"37.5"
"2726";"GM0743";"1995JJ00";"14.9"
"2727";"GM0743";"1996JJ00";"15.5"
"2728";"GM0743";"1997JJ00";"15.9"
"2729";"GM0743";"1998JJ00";"16.7"
"2730";"GM0743";"1999JJ00";"17.2"
"2731";"GM0743";"2000JJ00";"17.8"
"2732";"GM0743";"2001JJ00";"18.7"
"2733";"GM0743";"2002JJ00";"19.2"
"2734";"GM0743";"2003JJ00";"19.5"
"2735";"GM0743";"2004JJ00";"19.9"
"2736";"GM0743";"2005JJ00";"21.3"
"2737";"GM0743";"2006JJ00";"22.8"
"2738";"GM0743";"2007JJ00";"22.9"
"2739";"GM0743";"2008JJ00";"24"
"2740";"GM0743";"2009JJ00";"25.1"
"2741";"GM0743";"2010JJ00";"26.7"
"2742";"GM0743";"2011JJ00";"28.3"
"2743";"GM0743";"2012JJ00";"29"
"2744";"GM0743";"2013JJ00";"30.3"
"2745";"GM0743";"2014JJ00";"32.2"
"2746";"GM0743";"2015JJ00";"33.3"
"2747";"GM0743";"2016JJ00";"34.9"
"2748";"GM0743";"2017JJ00";"36.1"
"2749";"GM0743";"2018JJ00";"37.7"
"2750";"GM0743";"2019JJ00";"39"
"2751";"GM0743";"2020JJ00";"40.1"
"2752";"GM0743";"2021JJ00";"40.7"
"2753";"GM0743";"2022JJ00";"41.1"
"2754";"GM0743";"2023JJ00";"41.7"
"2755";"GM0143";"1995JJ00";"20.6"
"2756";"GM0143";"1996JJ00";"20.8"
"2757";"GM0143";"1997JJ00";"21"
"2758";"GM0143";"1998JJ00";"21.1"
"2759";"GM0143";"1999JJ00";"21.3"
"2760";"GM0143";"2000JJ00";"21.9"
"2761";"GM0143";"2001JJ00";
"2762";"GM0143";"2002JJ00";
"2763";"GM0143";"2003JJ00";
"2764";"GM0143";"2004JJ00";
"2765";"GM0143";"2005JJ00";
"2766";"GM0143";"2006JJ00";
"2767";"GM0143";"2007JJ00";
"2768";"GM0143";"2008JJ00";
"2769";"GM0143";"2009JJ00";
"2770";"GM0143";"2010JJ00";
"2771";"GM0143";"2011JJ00";
"2772";"GM0143";"2012JJ00";
"2773";"GM0143";"2013JJ00";
"2774";"GM0143";"2014JJ00";
"2775";"GM0143";"2015JJ00";
"2776";"GM0143";"2016JJ00";
"2777";"GM0143";"2017JJ00";
"2778";"GM0143";"2018JJ00";
"2779";"GM0143";"2019JJ00";
"2780";"GM0143";"2020JJ00";
"2781";"GM0143";"2021JJ00";
"2782";"GM0143";"2022JJ00";
"2783";"GM0143";"2023JJ00";
"2784";"GM0650";"1995JJ00";"28.8"
"2785";"GM0650";"1996JJ00";"28.9"
"2786";"GM0650";"1997JJ00";"28.7"
"2787";"GM0650";"1998JJ00";"29.2"
"2788";"GM0650";"1999JJ00";"29.3"
"2789";"GM0650";"2000JJ00";"29.1"
"2790";"GM0650";"2001JJ00";"29.1"
"2791";"GM0650";"2002JJ00";"29.6"
"2792";"GM0650";"2003JJ00";
"2793";"GM0650";"2004JJ00";
"2794";"GM0650";"2005JJ00";
"2795";"GM0650";"2006JJ00";
"2796";"GM0650";"2007JJ00";
"2797";"GM0650";"2008JJ00";
"2798";"GM0650";"2009JJ00";
"2799";"GM0650";"2010JJ00";
"2800";"GM0650";"2011JJ00";
"2801";"GM0650";"2012JJ00";
"2802";"GM0650";"2013JJ00";
"2803";"GM0650";"2014JJ00";
"2804";"GM0650";"2015JJ00";
"2805";"GM0650";"2016JJ00";
"2806";"GM0650";"2017JJ00";
"2807";"GM0650";"2018JJ00";
"2808";"GM0650";"2019JJ00";
"2809";"GM0650";"2020JJ00";
"2810";"GM0650";"2021JJ00";
"2811";"GM0650";"2022JJ00";
"2812";"GM0650";"2023JJ00";
"2813";"GM0744";"1995JJ00";"22.8"
"2814";"GM0744";"1996JJ00";"23.3"
"2815";"GM0744";"1997JJ00";"23.5"
"2816";"GM0744";"1998JJ00";"24.3"
"2817";"GM0744";"1999JJ00";"24.9"
"2818";"GM0744";"2000JJ00";"25.6"
"2819";"GM0744";"2001JJ00";"26.4"
"2820";"GM0744";"2002JJ00";"27"
"2821";"GM0744";"2003JJ00";"27.6"
"2822";"GM0744";"2004JJ00";"28.2"
"2823";"GM0744";"2005JJ00";"29.3"
"2824";"GM0744";"2006JJ00";"30.3"
"2825";"GM0744";"2007JJ00";"30.6"
"2826";"GM0744";"2008JJ00";"31.7"
"2827";"GM0744";"2009JJ00";"33.8"
"2828";"GM0744";"2010JJ00";"35.1"
"2829";"GM0744";"2011JJ00";"35.9"
"2830";"GM0744";"2012JJ00";"38.2"
"2831";"GM0744";"2013JJ00";"40.6"
"2832";"GM0744";"2014JJ00";"42.5"
"2833";"GM0744";"2015JJ00";"44.8"
"2834";"GM0744";"2016JJ00";"46.6"
"2835";"GM0744";"2017JJ00";"48.1"
"2836";"GM0744";"2018JJ00";"48.5"
"2837";"GM0744";"2019JJ00";"48.7"
"2838";"GM0744";"2020JJ00";"49.8"
"2839";"GM0744";"2021JJ00";"50.2"
"2840";"GM0744";"2022JJ00";"50.5"
"2841";"GM0744";"2023JJ00";"50.9"
"2842";"GM0308";"1995JJ00";"26.7"
"2843";"GM0308";"1996JJ00";"27.1"
"2844";"GM0308";"1997JJ00";"27.4"
"2845";"GM0308";"1998JJ00";"27.3"
"2846";"GM0308";"1999JJ00";"27.7"
"2847";"GM0308";"2000JJ00";"27.8"
"2848";"GM0308";"2001JJ00";"28.1"
"2849";"GM0308";"2002JJ00";"27.9"
"2850";"GM0308";"2003JJ00";"28.2"
"2851";"GM0308";"2004JJ00";"28.7"
"2852";"GM0308";"2005JJ00";"29.4"
"2853";"GM0308";"2006JJ00";"30.3"
"2854";"GM0308";"2007JJ00";"30.9"
"2855";"GM0308";"2008JJ00";"31.8"
"2856";"GM0308";"2009JJ00";"32.2"
"2857";"GM0308";"2010JJ00";"33"
"2858";"GM0308";"2011JJ00";"33.6"
"2859";"GM0308";"2012JJ00";"35.1"
"2860";"GM0308";"2013JJ00";"36.8"
"2861";"GM0308";"2014JJ00";"38.2"
"2862";"GM0308";"2015JJ00";"38.4"
"2863";"GM0308";"2016JJ00";"39.7"
"2864";"GM0308";"2017JJ00";"41"
"2865";"GM0308";"2018JJ00";"41.8"
"2866";"GM0308";"2019JJ00";"42.4"
"2867";"GM0308";"2020JJ00";"43.9"
"2868";"GM0308";"2021JJ00";"44.7"
"2869";"GM0308";"2022JJ00";"46"
"2870";"GM0308";"2023JJ00";"46.4"
"2871";"GM0745";"1995JJ00";"17.7"
"2872";"GM0745";"1996JJ00";"15.7"
"2873";"GM0745";"1997JJ00";
"2874";"GM0745";"1998JJ00";
"2875";"GM0745";"1999JJ00";
"2876";"GM0745";"2000JJ00";
"2877";"GM0745";"2001JJ00";
"2878";"GM0745";"2002JJ00";
"2879";"GM0745";"2003JJ00";
"2880";"GM0745";"2004JJ00";
"2881";"GM0745";"2005JJ00";
"2882";"GM0745";"2006JJ00";
"2883";"GM0745";"2007JJ00";
"2884";"GM0745";"2008JJ00";
"2885";"GM0745";"2009JJ00";
"2886";"GM0745";"2010JJ00";
"2887";"GM0745";"2011JJ00";
"2888";"GM0745";"2012JJ00";
"2889";"GM0745";"2013JJ00";
"2890";"GM0745";"2014JJ00";
"2891";"GM0745";"2015JJ00";
"2892";"GM0745";"2016JJ00";
"2893";"GM0745";"2017JJ00";
"2894";"GM0745";"2018JJ00";
"2895";"GM0745";"2019JJ00";
"2896";"GM0745";"2020JJ00";
"2897";"GM0745";"2021JJ00";
"2898";"GM0745";"2022JJ00";
"2899";"GM0745";"2023JJ00";
"2900";"GM0489";"1995JJ00";"19.8"
"2901";"GM0489";"1996JJ00";"20.3"
"2902";"GM0489";"1997JJ00";"20.8"
"2903";"GM0489";"1998JJ00";"20.9"
"2904";"GM0489";"1999JJ00";"20.2"
"2905";"GM0489";"2000JJ00";"19.6"
"2906";"GM0489";"2001JJ00";"19.1"
"2907";"GM0489";"2002JJ00";"18.2"
"2908";"GM0489";"2003JJ00";"18"
"2909";"GM0489";"2004JJ00";"19"
"2910";"GM0489";"2005JJ00";"19.4"
"2911";"GM0489";"2006JJ00";"19.3"
"2912";"GM0489";"2007JJ00";"19.3"
"2913";"GM0489";"2008JJ00";"19.5"
"2914";"GM0489";"2009JJ00";"19.9"
"2915";"GM0489";"2010JJ00";"20.4"
"2916";"GM0489";"2011JJ00";"21"
"2917";"GM0489";"2012JJ00";"22.6"
"2918";"GM0489";"2013JJ00";"23.9"
"2919";"GM0489";"2014JJ00";"25.1"
"2920";"GM0489";"2015JJ00";"26.3"
"2921";"GM0489";"2016JJ00";"27.1"
"2922";"GM0489";"2017JJ00";"28.1"
"2923";"GM0489";"2018JJ00";"29.2"
"2924";"GM0489";"2019JJ00";"30.1"
"2925";"GM0489";"2020JJ00";"31.1"
"2926";"GM0489";"2021JJ00";"31.6"
"2927";"GM0489";"2022JJ00";"32.4"
"2928";"GM0489";"2023JJ00";"33.5"
"2929";"GM0203";"1995JJ00";"18.4"
"2930";"GM0203";"1996JJ00";"18.8"
"2931";"GM0203";"1997JJ00";"19"
"2932";"GM0203";"1998JJ00";"19.3"
"2933";"GM0203";"1999JJ00";"19.8"
"2934";"GM0203";"2000JJ00";"20"
"2935";"GM0203";"2001JJ00";"20.1"
"2936";"GM0203";"2002JJ00";"20.3"
"2937";"GM0203";"2003JJ00";"20.5"
"2938";"GM0203";"2004JJ00";"20.7"
"2939";"GM0203";"2005JJ00";"21.4"
"2940";"GM0203";"2006JJ00";"21.8"
"2941";"GM0203";"2007JJ00";"22.3"
"2942";"GM0203";"2008JJ00";"22.9"
"2943";"GM0203";"2009JJ00";"23.7"
"2944";"GM0203";"2010JJ00";"24.2"
"2945";"GM0203";"2011JJ00";"24.8"
"2946";"GM0203";"2012JJ00";"26"
"2947";"GM0203";"2013JJ00";"27"
"2948";"GM0203";"2014JJ00";"27.8"
"2949";"GM0203";"2015JJ00";"28.4"
"2950";"GM0203";"2016JJ00";"28.7"
"2951";"GM0203";"2017JJ00";"29"
"2952";"GM0203";"2018JJ00";"29.3"
"2953";"GM0203";"2019JJ00";"29.8"
"2954";"GM0203";"2020JJ00";"30.1"
"2955";"GM0203";"2021JJ00";"30.3"
"2956";"GM0203";"2022JJ00";"30.9"
"2957";"GM0203";"2023JJ00";"31.4"
"2958";"GM0144";"1995JJ00";"23.9"
"2959";"GM0144";"1996JJ00";"23.7"
"2960";"GM0144";"1997JJ00";"24.2"
"2961";"GM0144";"1998JJ00";"24.7"
"2962";"GM0144";"1999JJ00";"25.3"
"2963";"GM0144";"2000JJ00";"25.2"
"2964";"GM0144";"2001JJ00";"24.9"
"2965";"GM0144";"2002JJ00";"25.2"
"2966";"GM0144";"2003JJ00";"26.3"
"2967";"GM0144";"2004JJ00";"27.2"
"2968";"GM0144";"2005JJ00";
"2969";"GM0144";"2006JJ00";
"2970";"GM0144";"2007JJ00";
"2971";"GM0144";"2008JJ00";
"2972";"GM0144";"2009JJ00";
"2973";"GM0144";"2010JJ00";
"2974";"GM0144";"2011JJ00";
"2975";"GM0144";"2012JJ00";
"2976";"GM0144";"2013JJ00";
"2977";"GM0144";"2014JJ00";
"2978";"GM0144";"2015JJ00";
"2979";"GM0144";"2016JJ00";
"2980";"GM0144";"2017JJ00";
"2981";"GM0144";"2018JJ00";
"2982";"GM0144";"2019JJ00";
"2983";"GM0144";"2020JJ00";
"2984";"GM0144";"2021JJ00";
"2985";"GM0144";"2022JJ00";
"2986";"GM0144";"2023JJ00";
"2987";"GM0005";"1995JJ00";"18.9"
"2988";"GM0005";"1996JJ00";"19"
"2989";"GM0005";"1997JJ00";"19.1"
"2990";"GM0005";"1998JJ00";"19"
"2991";"GM0005";"1999JJ00";"19.7"
"2992";"GM0005";"2000JJ00";"19.7"
"2993";"GM0005";"2001JJ00";"19.9"
"2994";"GM0005";"2002JJ00";"20.1"
"2995";"GM0005";"2003JJ00";"20.6"
"2996";"GM0005";"2004JJ00";"20.5"
"2997";"GM0005";"2005JJ00";"21.2"
"2998";"GM0005";"2006JJ00";"22.2"
"2999";"GM0005";"2007JJ00";"22.9"
"3000";"GM0005";"2008JJ00";"23.9"
"3001";"GM0005";"2009JJ00";"24.8"
"3002";"GM0005";"2010JJ00";"26.1"
"3003";"GM0005";"2011JJ00";"27"
"3004";"GM0005";"2012JJ00";"29.1"
"3005";"GM0005";"2013JJ00";"31"
"3006";"GM0005";"2014JJ00";"33"
"3007";"GM0005";"2015JJ00";"34.4"
"3008";"GM0005";"2016JJ00";"35.6"
"3009";"GM0005";"2017JJ00";"36.5"
"3010";"GM0005";"2018JJ00";"38"
"3011";"GM0005";"2019JJ00";
"3012";"GM0005";"2020JJ00";
"3013";"GM0005";"2021JJ00";
"3014";"GM0005";"2022JJ00";
"3015";"GM0005";"2023JJ00";
"3016";"GM0888";"1995JJ00";"18.7"
"3017";"GM0888";"1996JJ00";"19.4"
"3018";"GM0888";"1997JJ00";"20.2"
"3019";"GM0888";"1998JJ00";"21.1"
"3020";"GM0888";"1999JJ00";"22.2"
"3021";"GM0888";"2000JJ00";"22.4"
"3022";"GM0888";"2001JJ00";"22.5"
"3023";"GM0888";"2002JJ00";"23.1"
"3024";"GM0888";"2003JJ00";"24.5"
"3025";"GM0888";"2004JJ00";"26"
"3026";"GM0888";"2005JJ00";"26.9"
"3027";"GM0888";"2006JJ00";"27.7"
"3028";"GM0888";"2007JJ00";"28.9"
"3029";"GM0888";"2008JJ00";"29.8"
"3030";"GM0888";"2009JJ00";"31"
"3031";"GM0888";"2010JJ00";"31.9"
"3032";"GM0888";"2011JJ00";"33.4"
"3033";"GM0888";"2012JJ00";"34.8"
"3034";"GM0888";"2013JJ00";"36.7"
"3035";"GM0888";"2014JJ00";"38.2"
"3036";"GM0888";"2015JJ00";"39.9"
"3037";"GM0888";"2016JJ00";"41.2"
"3038";"GM0888";"2017JJ00";"42.1"
"3039";"GM0888";"2018JJ00";"43.9"
"3040";"GM0888";"2019JJ00";"45"
"3041";"GM0888";"2020JJ00";"45.8"
"3042";"GM0888";"2021JJ00";"47"
"3043";"GM0888";"2022JJ00";"48.3"
"3044";"GM0888";"2023JJ00";"48.5"
"3045";"GM0746";"1995JJ00";"14.6"
"3046";"GM0746";"1996JJ00";"15.2"
"3047";"GM0746";"1997JJ00";
"3048";"GM0746";"1998JJ00";
"3049";"GM0746";"1999JJ00";
"3050";"GM0746";"2000JJ00";
"3051";"GM0746";"2001JJ00";
"3052";"GM0746";"2002JJ00";
"3053";"GM0746";"2003JJ00";
"3054";"GM0746";"2004JJ00";
"3055";"GM0746";"2005JJ00";
"3056";"GM0746";"2006JJ00";
"3057";"GM0746";"2007JJ00";
"3058";"GM0746";"2008JJ00";
"3059";"GM0746";"2009JJ00";
"3060";"GM0746";"2010JJ00";
"3061";"GM0746";"2011JJ00";
"3062";"GM0746";"2012JJ00";
"3063";"GM0746";"2013JJ00";
"3064";"GM0746";"2014JJ00";
"3065";"GM0746";"2015JJ00";
"3066";"GM0746";"2016JJ00";
"3067";"GM0746";"2017JJ00";
"3068";"GM0746";"2018JJ00";
"3069";"GM0746";"2019JJ00";
"3070";"GM0746";"2020JJ00";
"3071";"GM0746";"2021JJ00";
"3072";"GM0746";"2022JJ00";
"3073";"GM0746";"2023JJ00";
"3074";"GM1954";"1995JJ00";
"3075";"GM1954";"1996JJ00";
"3076";"GM1954";"1997JJ00";
"3077";"GM1954";"1998JJ00";
"3078";"GM1954";"1999JJ00";
"3079";"GM1954";"2000JJ00";
"3080";"GM1954";"2001JJ00";
"3081";"GM1954";"2002JJ00";
"3082";"GM1954";"2003JJ00";
"3083";"GM1954";"2004JJ00";
"3084";"GM1954";"2005JJ00";
"3085";"GM1954";"2006JJ00";
"3086";"GM1954";"2007JJ00";
"3087";"GM1954";"2008JJ00";
"3088";"GM1954";"2009JJ00";
"3089";"GM1954";"2010JJ00";
"3090";"GM1954";"2011JJ00";
"3091";"GM1954";"2012JJ00";
"3092";"GM1954";"2013JJ00";
"3093";"GM1954";"2014JJ00";
"3094";"GM1954";"2015JJ00";
"3095";"GM1954";"2016JJ00";
"3096";"GM1954";"2017JJ00";
"3097";"GM1954";"2018JJ00";
"3098";"GM1954";"2019JJ00";"46.2"
"3099";"GM1954";"2020JJ00";"46.4"
"3100";"GM1954";"2021JJ00";"47.1"
"3101";"GM1954";"2022JJ00";"48"
"3102";"GM1954";"2023JJ00";"49.2"
"3103";"GM0370";"1995JJ00";"20.9"
"3104";"GM0370";"1996JJ00";"21.6"
"3105";"GM0370";"1997JJ00";"21.5"
"3106";"GM0370";"1998JJ00";"21.6"
"3107";"GM0370";"1999JJ00";"21.9"
"3108";"GM0370";"2000JJ00";"22.2"
"3109";"GM0370";"2001JJ00";"22.8"
"3110";"GM0370";"2002JJ00";"23.1"
"3111";"GM0370";"2003JJ00";"23.3"
"3112";"GM0370";"2004JJ00";"24"
"3113";"GM0370";"2005JJ00";"23.9"
"3114";"GM0370";"2006JJ00";"24.7"
"3115";"GM0370";"2007JJ00";"26"
"3116";"GM0370";"2008JJ00";"27"
"3117";"GM0370";"2009JJ00";"28"
"3118";"GM0370";"2010JJ00";"29.5"
"3119";"GM0370";"2011JJ00";"30.1"
"3120";"GM0370";"2012JJ00";"31.4"
"3121";"GM0370";"2013JJ00";"33.2"
"3122";"GM0370";"2014JJ00";"33.8"
"3123";"GM0370";"2015JJ00";"34.8"
"3124";"GM0370";"2016JJ00";"35.1"
"3125";"GM0370";"2017JJ00";"35.3"
"3126";"GM0370";"2018JJ00";"35.4"
"3127";"GM0370";"2019JJ00";"35.1"
"3128";"GM0370";"2020JJ00";"35.3"
"3129";"GM0370";"2021JJ00";"35.9"
"3130";"GM0370";"2022JJ00";
"3131";"GM0370";"2023JJ00";
"3132";"GM0889";"1995JJ00";"16.9"
"3133";"GM0889";"1996JJ00";"17.4"
"3134";"GM0889";"1997JJ00";"17.6"
"3135";"GM0889";"1998JJ00";"18.3"
"3136";"GM0889";"1999JJ00";"19"
"3137";"GM0889";"2000JJ00";"19.6"
"3138";"GM0889";"2001JJ00";"20.2"
"3139";"GM0889";"2002JJ00";"20.7"
"3140";"GM0889";"2003JJ00";"21.3"
"3141";"GM0889";"2004JJ00";"21.8"
"3142";"GM0889";"2005JJ00";"22.1"
"3143";"GM0889";"2006JJ00";"22.7"
"3144";"GM0889";"2007JJ00";"23.2"
"3145";"GM0889";"2008JJ00";"24.1"
"3146";"GM0889";"2009JJ00";"25.6"
"3147";"GM0889";"2010JJ00";"26.8"
"3148";"GM0889";"2011JJ00";"27.7"
"3149";"GM0889";"2012JJ00";"29.6"
"3150";"GM0889";"2013JJ00";"31.5"
"3151";"GM0889";"2014JJ00";"33"
"3152";"GM0889";"2015JJ00";"34.7"
"3153";"GM0889";"2016JJ00";"36.5"
"3154";"GM0889";"2017JJ00";"37.7"
"3155";"GM0889";"2018JJ00";"39.3"
"3156";"GM0889";"2019JJ00";"40.7"
"3157";"GM0889";"2020JJ00";"42.2"
"3158";"GM0889";"2021JJ00";"43.4"
"3159";"GM0889";"2022JJ00";"44.3"
"3160";"GM0889";"2023JJ00";"45.4"
"3161";"GM0107";"1995JJ00";"25"
"3162";"GM0107";"1996JJ00";"25.2"
"3163";"GM0107";"1997JJ00";"25.5"
"3164";"GM0107";"1998JJ00";
"3165";"GM0107";"1999JJ00";
"3166";"GM0107";"2000JJ00";
"3167";"GM0107";"2001JJ00";
"3168";"GM0107";"2002JJ00";
"3169";"GM0107";"2003JJ00";
"3170";"GM0107";"2004JJ00";
"3171";"GM0107";"2005JJ00";
"3172";"GM0107";"2006JJ00";
"3173";"GM0107";"2007JJ00";
"3174";"GM0107";"2008JJ00";
"3175";"GM0107";"2009JJ00";
"3176";"GM0107";"2010JJ00";
"3177";"GM0107";"2011JJ00";
"3178";"GM0107";"2012JJ00";
"3179";"GM0107";"2013JJ00";
"3180";"GM0107";"2014JJ00";
"3181";"GM0107";"2015JJ00";
"3182";"GM0107";"2016JJ00";
"3183";"GM0107";"2017JJ00";
"3184";"GM0107";"2018JJ00";
"3185";"GM0107";"2019JJ00";
"3186";"GM0107";"2020JJ00";
"3187";"GM0107";"2021JJ00";
"3188";"GM0107";"2022JJ00";
"3189";"GM0107";"2023JJ00";
